familia,n,aciertos,accuracy,cita,cifra,trayectoria,recall@5,coste_medio_usd,latencia_media_s,llamadas_media,tools_operativas_media
TOTAL,20,17,0.85,0.8235294117647058,1.0,1.0,0.6923076923076923,0.018739799999999997,10.640958292450003,4.95,3.9
comparativa,6,6,1.0,1.0,1.0,1.0,0.5,0.032024375,14.717106645833326,7.5,6.333333333333333
extractiva,7,7,1.0,1.0,,1.0,0.8571428571428571,0.015510535714285711,8.019073288142863,4.0,3.0
numerica,7,4,0.5714285714285714,0.25,1.0,1.0,,0.010582285714285712,9.76900185100001,3.7142857142857144,2.7142857142857144
