versión,accuracy,recall@5,coste_medio_usd,latencia_media_s,llamadas_por_pregunta
Baseline,0.85,0.6923076923076923,0.018739799999999997,10.640958292450003,4.95
Final V4,0.95,0.6153846153846154,0.017308537499999995,8.25782788150001,4.3
