familia,n,aciertos,accuracy,cita,cifra,trayectoria,recall@5,coste_medio_usd,latencia_media_s,llamadas_media,tools_operativas_media
TOTAL,20,19,0.95,0.9230769230769231,0.9230769230769231,1.0,0.6153846153846154,0.017308537499999995,8.25782788150001,4.3,3.3
comparativa,6,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,0.034349874999999995,13.50317720450001,7.333333333333333,6.333333333333333
extractiva,7,7,1.0,1.0,,1.0,0.8571428571428571,0.014218714285714284,7.807096693142853,3.5714285714285716,2.5714285714285716
numerica,7,7,1.0,,1.0,1.0,,0.0057915,4.212545364428593,2.4285714285714284,1.4285714285714286
